37	@amyag215_video_7240265898953674027.mp4			-31.74108165406010	1.0	1.0	0.0	22.97	689.0	30.0	4.0	33.33	0.0	33.33	-27.11	10.6	TRUE	TRUE	TRUE	FALSE
38	@anahimullerr_video_7247613081516297499.mp4			-16.39411319524790	1.0	0.0	0.0	8.38	251.0	30.0	0.0	33.37	0.0	33.37	-13.14	0.9	TRUE	TRUE	TRUE	FALSE
39	@andrewaustin59_video_7172221897927576837.mp4			-23.01047802339480	1.0	1.0	0.0	15.7	471.0	30.0	0.0	33.33	0.0	33.33	-19.96	4.5	TRUE	TRUE	TRUE	FALSE
40	@andrewaustin59_video_7261546640987753755.mp4			-16.956204578066100	1.0	1.0	0.0	30.4	912.0	30.0	0.0	33.33	0.0	33.33			TRUE	TRUE	TRUE	FALSE
41	@anna.bicycleman_video_7186606114358791429.mp4			-16.569127373900800	1.0	1.0	0.0	15.03	451.0	30.0	2.0	33.33	0.0	33.33	-14.81	2.2	TRUE	FALSE	TRUE	FALSE
42	@annagetsaphd_video_7189068222170172715.mp4			-13.077115806317100	1.0	1.0	0.0	10.43	626.0	60.0	0.0	16.67	0.0	16.67	-13.07	3.5	TRUE	FALSE	TRUE	FALSE
43	@anscomedy_video_7134706395328351530.mp4			-31.08057681786540	1.0	1.0	0.0	15.13	454.0	30.0	0.0	33.33	0.0	33.33	-28.27	2.1	TRUE	TRUE	TRUE	FALSE
44	@antonio.boz_video_7218586224024472838.mp4			-18.842281897873000	1.0	1.0	0.0	33.17	980.0	29.5	15.0	33.84	4.09	33.33	-14.01	14.8	TRUE	TRUE	TRUE	FALSE
45	@antonio.boz_video_7264599296304008481.mp4			-31.56867654989810	1.0	1.0	0.0	23.27	696.0	29.9	3.0	33.43	1.79	33.33			TRUE	TRUE	TRUE	FALSE
46	@antoniobankjes_video_7253108838667128091.mp4			-22.58972728718040	1.0	1.0	18.0	55.33	1660.0	30.0	10.0	33.33	0.0	33.33	-17.56	11.5	TRUE	TRUE	TRUE	FALSE
47	@antoniobankjes_video_7253494744750296346.mp4			-18.912160711119100	0.98	1.0	0.0	50.87	1520.0	29.9	16.0	33.46	2.09	33.33	-15.8	4.0	TRUE	TRUE	TRUE	FALSE
48	@antoniobankjes_video_7256469718310210843.mp4			-19.72809528387900	1.0	1.0	0.0	50.77	1514.0	29.8	22.0	33.53	2.56	33.33	-16.27	5.3	TRUE	TRUE	TRUE	FALSE
49	@antoniobankjes_video_7256835554485095706.mp4			-19.867942681817900	1.0	1.0	0.0	75.67	2270.0	30.0	8.0	33.33	0.0	33.33	-16.03	5.5	TRUE	TRUE	TRUE	FALSE
50	@antoniobankjes_video_7257972357770284314.mp4			-18.390260573810900	1.0	1.0	1.0	73.27	2198.0	30.0	22.0	33.33	0.0	33.33	-15.25	5.7	TRUE	TRUE	TRUE	FALSE
51	@antoniobankjes_video_7259787363092647195.mp4			-20.509829110697700	0.98	1.0	1.0	43.73	1308.0	29.9	28.0	33.44	1.84	33.33	-16.81	5.5	TRUE	TRUE	TRUE	FALSE
52	@antoniobankjes_video_7262015250139057440.mp4			-11.69409213297210	1.0	1.0	4.0	44.43	1333.0	30.0	18.0	33.33	0.0	33.33			TRUE	TRUE	TRUE	FALSE
53	@antoniobankjes_video_7262385376935873824.mp4			-19.207109727628000	0.98	1.0	2.0	58.27	1748.0	30.0	23.0	33.33	0.0	33.33			TRUE	TRUE	TRUE	FALSE
54	@antoniobankjes_video_7264242595990179104.mp4			-20.392563631476200	1.0	1.0	0.0	31.27	938.0	30.0	9.0	33.33	0.0	33.33			TRUE	TRUE	TRUE	FALSE
55	@antoniobankjes_video_7265362837411745056.mp4			-14.6724556405458	1.0	1.0	1.0	41.97	1259.0	30.0	21.0	33.33	0.0	33.33			TRUE	TRUE	TRUE	FALSE
56	@artsbymarcusw_video_7158803336370703621.mp4			-38.96847137601310	1.0	0.0	0.0	10.68	165.0	15.4	4.0	64.75	60.72	60.0	-30.03	25.0	FALSE	TRUE	TRUE	FALSE
57	@atonyabbatiello_video_7235385082389859630.mp4			-16.145681542083600	1.0	0.0	0.0	12.11	363.0	30.0	4.0	33.37	0.0	33.37	-12.73	3.3	TRUE	FALSE	TRUE	FALSE
58	@aufgeklaert_video_7141690263256272134.mp4			-17.885473063693700	1.0	1.0	0.0	38.77	1163.0	30.0	7.0	33.33	0.0	33.33	-14.92	4.2	TRUE	TRUE	TRUE	FALSE
